Gene,GC,AU,Length,Polar%,Non-Polar%
YAL039C   ,53.1      ,25.6      ,810       ,21.4      ,78.6
YAL040C   ,41.1      ,28.9      ,1743      ,30.0      ,70.0
YAL041W   ,38.9      ,33.4      ,2565      ,27.7      ,72.3
YAL042W   ,49.6      ,26.0      ,1248      ,24.4      ,75.6
YAL043C   ,46.0      ,30.0      ,2358      ,24.0      ,76.0
YAL044C   ,47.9      ,28.8      ,534       ,23.2      ,76.8
YAL044W   ,47.1      ,29.4      ,333       ,23.4      ,76.6
YAL046C   ,48.2      ,30.3      ,357       ,21.6      ,78.4
YAL047C   ,36.5      ,38.5      ,1869      ,25.0      ,75.0
YAL048C   ,39.9      ,31.8      ,1989      ,28.3      ,71.7
YAL049C   ,41.8      ,29.3      ,741       ,28.9      ,71.1
YAL051W   ,37.3      ,33.5      ,3189      ,29.3      ,70.7
YAL053W   ,42.0      ,26.7      ,2352      ,31.3      ,68.7
YAL054C   ,45.4      ,27.1      ,2142      ,27.5      ,72.5
YAL055W   ,42.4      ,34.4      ,543       ,23.2      ,76.8
YAL056W   ,39.7      ,31.8      ,2544      ,28.5      ,71.5
YAL058W   ,43.4      ,30.7      ,1509      ,25.9      ,74.1
YAL059W   ,40.2      ,36.6      ,639       ,23.2      ,76.8
YAL060W   ,45.1      ,27.2      ,1149      ,27.8      ,72.2
YAL061W   ,48.4      ,28.0      ,1254      ,23.6      ,76.4
YAR002C   ,39.5      ,28.6      ,660       ,31.8      ,68.2
YAR002W   ,39.5      ,35.4      ,1620      ,25.1      ,74.9
YAR003W   ,40.0      ,30.8      ,1281      ,29.1      ,70.9
YAR007C   ,39.5      ,33.0      ,1866      ,27.5      ,72.5
YAR015W   ,43.3      ,31.7      ,921       ,25.0      ,75.0
YAR018C   ,39.3      ,35.1      ,1308      ,25.6      ,74.4
YAR019C   ,40.1      ,31.0      ,2925      ,28.9      ,71.1
YAR020C   ,44.0      ,23.8      ,168       ,32.1      ,67.9
YBL004W   ,35.5      ,33.1      ,7482      ,31.4      ,68.6
YBL005W   ,36.0      ,32.8      ,2931      ,31.2      ,68.8
YBL006C   ,50.5      ,27.4      ,438       ,22.1      ,77.9
YBL007C   ,43.3      ,32.3      ,3735      ,24.4      ,75.6
YBL008W   ,39.5      ,33.1      ,2523      ,27.4      ,72.6
YBL009W   ,38.1      ,33.1      ,2031      ,28.8      ,71.2
YBL010C   ,38.1      ,36.2      ,843       ,25.7      ,74.3
YBL011W   ,43.0      ,31.1      ,2280      ,25.8      ,74.2
YBL013W   ,49.4      ,27.3      ,1182      ,23.3      ,76.7
YBL016W   ,45.8      ,29.8      ,1062      ,24.4      ,75.6
YBL017C   ,39.0      ,32.3      ,4740      ,28.7      ,71.3
YBL018C   ,35.4      ,33.8      ,477       ,30.8      ,69.2
YBL022C   ,40.7      ,34.5      ,3402      ,24.8      ,75.2
YBL023C   ,40.0      ,32.7      ,2607      ,27.3      ,72.7
YBL024W   ,38.7      ,33.7      ,2055      ,27.6      ,72.4
YBL029C   ,40.0      ,32.3      ,285       ,27.7      ,72.3
YBL029W   ,37.9      ,34.7      ,1131      ,27.4      ,72.6
YBL030C   ,42.9      ,24.9      ,957       ,32.2      ,67.8
YBL031W   ,39.8      ,36.7      ,1017      ,23.5      ,76.5
YBL032W   ,46.2      ,30.0      ,1146      ,23.7      ,76.3
YBL033C   ,48.0      ,30.3      ,1038      ,21.7      ,78.3
YBL034C   ,35.4      ,36.0      ,4542      ,28.6      ,71.4
YBL035C   ,39.4      ,32.9      ,2118      ,27.7      ,72.3
YBL037W   ,37.6      ,32.9      ,3078      ,29.5      ,70.5
YBL038W   ,39.6      ,34.6      ,699       ,25.8      ,74.2
YBL047C   ,41.3      ,33.8      ,4146      ,24.9      ,75.1
YBL049W   ,39.1      ,31.7      ,417       ,29.3      ,70.7
YBL050W   ,39.1      ,32.9      ,995       ,28.0      ,72.0
YBL051C   ,39.1      ,34.8      ,2007      ,26.2      ,73.8
YBL052C   ,35.5      ,38.5      ,2496      ,26.0      ,74.0
YBL054W   ,41.5      ,34.0      ,1578      ,24.5      ,75.5
YBL055C   ,40.5      ,31.3      ,1257      ,28.2      ,71.8
YBL056W   ,38.9      ,30.8      ,1407      ,30.3      ,69.7
YBL057C   ,42.5      ,31.6      ,645       ,25.9      ,74.1
YBL058W   ,44.2      ,32.9      ,1272      ,23.0      ,77.0
YBL061C   ,39.3      ,34.8      ,2091      ,25.9      ,74.1
YBL063W   ,36.2      ,37.7      ,3336      ,26.1      ,73.9
YBL064C   ,41.7      ,31.6      ,786       ,26.7      ,73.3
YBL066C   ,40.5      ,31.9      ,3174      ,27.7      ,72.3
YBL067C   ,37.3      ,34.8      ,2067      ,28.0      ,72.0
YBL068W   ,39.5      ,31.1      ,1068      ,29.4      ,70.6
YBL069W   ,40.6      ,31.5      ,1290      ,27.9      ,72.1
YBL071W   ,44.6      ,28.1      ,249       ,27.3      ,72.7
YBL072C   ,43.6      ,31.5      ,603       ,24.9      ,75.1
YBL074C   ,38.0      ,34.1      ,1068      ,27.9      ,72.1
YBL075C   ,41.6      ,31.6      ,1950      ,26.8      ,73.2
YBL076C   ,38.9      ,30.6      ,3219      ,30.5      ,69.5
YBL078C   ,39.8      ,31.6      ,354       ,28.5      ,71.5
YBL081W   ,44.8      ,32.1      ,1107      ,23.1      ,76.9
YBL082C   ,47.9      ,22.9      ,1377      ,29.3      ,70.7
YBL084C   ,37.2      ,33.5      ,2277      ,29.3      ,70.7
YBL085W   ,40.0      ,35.6      ,2943      ,24.4      ,75.6
YBL086C   ,41.2      ,36.5      ,1401      ,22.3      ,77.7
YBL087C   ,40.1      ,29.4      ,918       ,30.5      ,69.5
YBL088C   ,35.8      ,33.7      ,8364      ,30.5      ,69.5
YBL089W   ,37.9      ,28.6      ,1530      ,33.5      ,66.5
YBL090W   ,39.1      ,37.6      ,534       ,23.2      ,76.8
YBL091C   ,43.4      ,32.7      ,1266      ,23.9      ,76.1
YBL092W   ,44.3      ,30.8      ,393       ,24.9      ,75.1
YBL093C   ,44.3      ,34.4      ,663       ,21.3      ,78.7
YBL095W   ,43.2      ,28.2      ,813       ,28.7      ,71.3
YBL097W   ,38.0      ,37.3      ,2187      ,24.7      ,75.3
YBL098W   ,38.6      ,31.9      ,1383      ,29.5      ,70.5
YBL101C   ,41.4      ,33.2      ,3354      ,25.3      ,74.7
YBL102W   ,44.8      ,23.3      ,648       ,31.9      ,68.1
YBL103C   ,39.7      ,34.8      ,1461      ,25.5      ,74.5
YBL104C   ,38.9      ,33.8      ,2778      ,27.3      ,72.7
YBL105C   ,38.8      ,34.6      ,3456      ,26.6      ,73.4
YBL106C   ,38.9      ,32.0      ,3033      ,29.0      ,71.0
YBL107C   ,37.4      ,39.1      ,591       ,23.5      ,76.5
YBR003W   ,40.5      ,31.1      ,1422      ,28.4      ,71.6
YBR004C   ,34.3      ,28.3      ,1302      ,37.4      ,62.6
YBR005W   ,46.9      ,29.1      ,642       ,24.0      ,76.0
YBR006W   ,40.8      ,29.5      ,1494      ,29.7      ,70.3
YBR009C   ,42.6      ,30.1      ,312       ,27.2      ,72.8
YBR010W   ,43.3      ,32.8      ,411       ,23.8      ,76.2
YBR011C   ,42.6      ,31.7      ,864       ,25.7      ,74.3
YBR014C   ,39.1      ,34.2      ,612       ,26.8      ,73.2
YBR015C   ,41.6      ,31.0      ,1794      ,27.3      ,72.7
YBR016W   ,50.6      ,32.3      ,387       ,17.1      ,82.9
YBR017C   ,39.0      ,31.5      ,2757      ,29.5      ,70.5
YBR018C   ,38.3      ,31.8      ,1101      ,29.9      ,70.1
YBR019C   ,40.2      ,30.1      ,2100      ,29.7      ,70.3
YBR020W   ,41.5      ,28.1      ,1587      ,30.4      ,69.6
YBR021W   ,39.9      ,26.0      ,1902      ,34.1      ,65.9
YBR022W   ,38.0      ,34.5      ,534       ,27.5      ,72.5
YBR023C   ,39.2      ,30.0      ,3498      ,30.8      ,69.2
YBR024W   ,40.0      ,31.9      ,906       ,28.1      ,71.9
YBR025C   ,39.6      ,31.3      ,1185      ,29.1      ,70.9
YBR026C   ,38.7      ,33.1      ,1143      ,28.3      ,71.7
YBR028C   ,38.2      ,34.0      ,1578      ,27.8      ,72.2
YBR029C   ,38.5      ,28.7      ,1374      ,32.8      ,67.2
YBR030W   ,40.4      ,32.5      ,1659      ,27.1      ,72.9
YBR031W   ,48.1      ,25.3      ,1089      ,26.5      ,73.5
YBR033W   ,38.7      ,33.8      ,2760      ,27.5      ,72.5
YBR034C   ,40.6      ,31.2      ,1047      ,28.2      ,71.8
YBR035C   ,43.4      ,32.6      ,687       ,24.0      ,76.0
YBR036C   ,43.4      ,25.5      ,1233      ,31.1      ,68.9
YBR037C   ,44.9      ,28.5      ,888       ,26.6      ,73.4
YBR038W   ,40.3      ,29.2      ,2892      ,30.5      ,69.5
YBR039W   ,39.1      ,33.0      ,936       ,27.9      ,72.1
YBR040W   ,34.9      ,30.7      ,897       ,34.4      ,65.6
YBR041W   ,37.8      ,30.4      ,1872      ,31.8      ,68.2
YBR042C   ,37.1      ,32.0      ,1194      ,30.9      ,69.1
YBR043C   ,40.9      ,30.2      ,2070      ,28.8      ,71.2
YBR045C   ,36.4      ,36.8      ,1722      ,26.8      ,73.2
YBR046C   ,39.0      ,32.5      ,1005      ,28.5      ,71.5
YBR047W   ,36.7      ,35.6      ,528       ,27.7      ,72.3
YBR048W   ,38.5      ,34.5      ,982       ,27.0      ,73.0
YBR049C   ,38.7      ,37.2      ,2433      ,24.1      ,75.9
YBR050C   ,39.1      ,34.8      ,1017      ,26.1      ,73.9
YBR052C   ,44.2      ,30.0      ,633       ,25.8      ,74.2
YBR053C   ,39.0      ,30.5      ,1077      ,30.5      ,69.5
YBR054W   ,40.7      ,27.3      ,1035      ,32.0      ,68.0
YBR055C   ,37.3      ,35.8      ,2700      ,26.9      ,73.1
YBR056W   ,38.3      ,32.7      ,1506      ,29.0      ,71.0
YBR057C   ,38.4      ,38.1      ,1101      ,23.4      ,76.6
YBR058C   ,37.9      ,33.7      ,2412      ,28.4      ,71.6
YBR060C   ,38.6      ,36.1      ,1863      ,25.3      ,74.7
YBR061C   ,40.4      ,31.2      ,933       ,28.4      ,71.6
YBR062C   ,39.4      ,32.8      ,348       ,27.9      ,72.1
YBR063C   ,35.2      ,35.1      ,1215      ,29.7      ,70.3
YBR065C   ,37.3      ,36.1      ,1095      ,26.7      ,73.3
YBR066C   ,38.0      ,37.4      ,663       ,24.6      ,75.4
YBR067C   ,47.7      ,20.1      ,633       ,32.2      ,67.8
YBR068C   ,40.3      ,26.9      ,1830      ,32.8      ,67.2
YBR069C   ,41.8      ,27.1      ,1860      ,31.1      ,68.9
YBR070C   ,39.4      ,29.0      ,714       ,31.7      ,68.3
YBR071W   ,43.4      ,34.0      ,636       ,22.6      ,77.4
YBR072W   ,42.5      ,31.3      ,645       ,26.2      ,73.8
YBR073W   ,38.1      ,35.1      ,2877      ,26.8      ,73.2
YBR074W   ,37.9      ,31.0      ,2933      ,31.1      ,68.9
YBR076W   ,35.8      ,36.5      ,1020      ,27.7      ,72.3
YBR077C   ,39.1      ,32.9      ,489       ,28.0      ,72.0
YBR078W   ,39.7      ,24.4      ,1737      ,35.9      ,64.1
YBR079C   ,40.4      ,33.9      ,2895      ,25.7      ,74.3
YBR080C   ,38.4      ,32.5      ,2277      ,29.1      ,70.9
YBR083W   ,40.4      ,36.3      ,1461      ,23.3      ,76.7
YBR084W   ,41.6      ,31.4      ,2928      ,27.0      ,73.0
YBR085C   ,41.1      ,31.8      ,258       ,27.1      ,72.9
YBR085W   ,40.5      ,29.0      ,924       ,30.5      ,69.5
YBR086C   ,38.0      ,31.4      ,2841      ,30.6      ,69.4
YBR087W   ,37.1      ,33.6      ,1065      ,29.3      ,70.7
YBR088C   ,38.4      ,31.1      ,777       ,30.5      ,69.5
YBR089C   ,44.7      ,36.3      ,300       ,19.0      ,81.0
YBR091C   ,44.5      ,29.7      ,330       ,25.8      ,74.2
YBR093C   ,42.4      ,28.4      ,1404      ,29.2      ,70.8
YBR094W   ,37.4      ,33.6      ,2262      ,29.0      ,71.0
YBR095C   ,37.9      ,36.2      ,1362      ,25.9      ,74.1
YBR096W   ,37.4      ,29.7      ,693       ,32.9      ,67.1
YBR097W   ,34.7      ,34.2      ,4365      ,31.1      ,68.9
YBR098W   ,36.6      ,38.1      ,2077      ,25.2      ,74.8
YBR101C   ,38.1      ,34.1      ,873       ,27.7      ,72.3
YBR102C   ,38.0      ,35.1      ,2262      ,26.9      ,73.1
YBR103C   ,37.5      ,31.2      ,144       ,31.2      ,68.8
YBR103W   ,40.7      ,32.7      ,1608      ,26.6      ,73.4
YBR104W   ,41.4      ,30.2      ,990       ,28.4      ,71.6
YBR105C   ,42.3      ,31.9      ,1089      ,25.8      ,74.2
YBR106W   ,43.4      ,30.3      ,567       ,26.3      ,73.7
YBR107C   ,42.0      ,31.8      ,738       ,26.2      ,73.8
YBR108W   ,46.9      ,32.5      ,2547      ,20.6      ,79.4
YBR109C   ,39.0      ,32.2      ,444       ,28.8      ,71.2
YBR110W   ,36.3      ,32.1      ,1350      ,31.6      ,68.4
YBR111C   ,40.7      ,33.8      ,696       ,25.6      ,74.4
YBR117C   ,44.9      ,28.0      ,2046      ,27.1      ,72.9
YBR119W   ,37.0      ,37.3      ,986       ,25.7      ,74.3
YBR120C   ,34.6      ,39.9      ,489       ,25.6      ,74.4
YBR121C   ,39.3      ,31.2      ,2004      ,29.5      ,70.5
YBR122C   ,40.6      ,34.5      ,591       ,24.9      ,75.1
YBR123C   ,38.5      ,35.3      ,1950      ,26.2      ,73.8
YBR125C   ,40.5      ,32.5      ,1182      ,27.0      ,73.0
YBR126C   ,45.2      ,28.3      ,1488      ,26.5      ,73.5
YBR127C   ,42.3      ,30.1      ,1554      ,27.6      ,72.4
YBR128C   ,38.1      ,35.0      ,1035      ,27.0      ,73.0
YBR129C   ,37.4      ,34.9      ,987       ,27.8      ,72.2
YBR130C   ,36.0      ,38.7      ,1278      ,25.3      ,74.7
YBR131W   ,37.6      ,33.9      ,2115      ,28.5      ,71.5
YBR132C   ,40.6      ,26.5      ,1791      ,32.9      ,67.1
YBR133C   ,40.7      ,31.2      ,2484      ,28.1      ,71.9
YBR135W   ,47.9      ,31.6      ,453       ,20.5      ,79.5
YBR137W   ,39.3      ,31.9      ,540       ,28.9      ,71.1
YBR138C   ,35.4      ,38.7      ,1575      ,25.9      ,74.1
YBR139W   ,40.5      ,28.7      ,1527      ,30.7      ,69.3
YBR141C   ,40.3      ,33.9      ,1014      ,25.7      ,74.3
YBR143C   ,36.9      ,31.8      ,1314      ,31.3      ,68.7
YBR145W   ,42.6      ,26.6      ,1056      ,30.8      ,69.2
YBR146W   ,38.8      ,35.2      ,837       ,25.9      ,74.1
YBR147W   ,37.1      ,29.9      ,891       ,33.0      ,67.0
YBR148W   ,35.5      ,40.4      ,1830      ,24.2      ,75.8
YBR150C   ,36.0      ,33.9      ,3285      ,30.1      ,69.9
YBR151W   ,40.0      ,32.0      ,951       ,28.1      ,71.9
YBR154C   ,37.3      ,36.1      ,648       ,26.5      ,73.5
YBR155W   ,38.9      ,38.2      ,1158      ,23.0      ,77.0
YBR156C   ,37.3      ,39.4      ,2097      ,23.2      ,76.8
YBR157C   ,41.7      ,33.3      ,321       ,24.9      ,75.1
YBR158W   ,38.1      ,33.7      ,1650      ,28.2      ,71.8
YBR159W   ,38.0      ,30.9      ,1044      ,31.0      ,69.0
YBR162C   ,43.5      ,24.7      ,1368      ,31.8      ,68.2
YBR162W   ,40.4      ,34.8      ,198       ,24.7      ,75.3
YBR163W   ,36.1      ,34.5      ,1758      ,29.4      ,70.6
YBR164C   ,38.4      ,31.9      ,552       ,29.7      ,70.3
YBR165W   ,37.6      ,33.9      ,834       ,28.4      ,71.6
YBR166C   ,37.3      ,32.9      ,1359      ,29.8      ,70.2
YBR167C   ,36.2      ,39.5      ,423       ,24.3      ,75.7
YBR168W   ,35.4      ,33.9      ,1242      ,30.7      ,69.3
YBR169C   ,40.6      ,32.7      ,2082      ,26.7      ,73.3
YBR170C   ,39.9      ,32.2      ,1743      ,27.8      ,72.2
YBR171W   ,36.1      ,35.6      ,621       ,28.3      ,71.7
YBR172C   ,40.6      ,34.6      ,2373      ,24.8      ,75.2
YBR173C   ,44.3      ,34.9      ,447       ,20.8      ,79.2
YBR175W   ,42.6      ,27.6      ,948       ,29.7      ,70.3
YBR176W   ,39.7      ,31.3      ,939       ,29.0      ,71.0
YBR177C   ,41.2      ,30.2      ,1356      ,28.6      ,71.4
YBR179C   ,36.8      ,35.3      ,2568      ,27.8      ,72.2
YBR182C   ,41.6      ,31.8      ,1359      ,26.6      ,73.4
YBR183W   ,41.0      ,28.5      ,951       ,30.5      ,69.5
YBR184W   ,34.9      ,37.5      ,1572      ,27.6      ,72.4
YBR185C   ,37.5      ,32.0      ,837       ,30.5      ,69.5
YBR186W   ,37.0      ,33.5      ,1808      ,29.5      ,70.5
YBR188C   ,40.2      ,38.8      ,423       ,21.0      ,79.0
YBR189W   ,39.6      ,30.8      ,1001      ,29.7      ,70.3
YBR193C   ,42.1      ,32.6      ,672       ,25.3      ,74.7
YBR194W   ,39.5      ,40.1      ,372       ,20.4      ,79.6
YBR195C   ,41.6      ,31.7      ,1269      ,26.7      ,73.3
YBR196C   ,43.3      ,27.1      ,1665      ,29.5      ,70.5
YBR197C   ,47.1      ,34.6      ,654       ,18.3      ,81.7
YBR198C   ,40.6      ,33.6      ,2397      ,25.8      ,74.2
YBR199W   ,38.4      ,32.8      ,1395      ,28.8      ,71.2
YBR200W   ,38.4      ,34.2      ,1656      ,27.4      ,72.6
YBR201W   ,38.2      ,30.7      ,636       ,31.1      ,68.9
YBR202W   ,41.1      ,31.8      ,2538      ,27.0      ,73.0
YBR203W   ,38.8      ,32.7      ,2775      ,28.5      ,71.5
YBR204C   ,39.0      ,31.6      ,1128      ,29.3      ,70.7
YBR205W   ,40.7      ,30.9      ,1215      ,28.5      ,71.5
YBR207W   ,40.8      ,28.4      ,1398      ,30.8      ,69.2
YBR212W   ,41.8      ,32.4      ,2019      ,25.8      ,74.2
YBR213W   ,47.6      ,29.7      ,825       ,22.7      ,77.3
YBR214W   ,45.6      ,29.4      ,1584      ,25.1      ,74.9
YBR215W   ,37.3      ,39.8      ,1872      ,22.9      ,77.1
YBR216C   ,35.8      ,32.9      ,2025      ,31.3      ,68.7
YBR217W   ,36.4      ,36.5      ,561       ,27.1      ,72.9
YBR222C   ,44.5      ,28.4      ,1632      ,27.1      ,72.9
YBR223C   ,42.8      ,32.4      ,1635      ,24.8      ,75.2
YBR225W   ,38.8      ,34.6      ,2703      ,26.6      ,73.4
YBR227C   ,37.8      ,35.0      ,1563      ,27.2      ,72.8
YBR228W   ,38.5      ,34.2      ,915       ,27.3      ,72.7
YBR230C   ,43.2      ,28.5      ,502       ,28.3      ,71.7
YBR231C   ,49.0      ,32.0      ,912       ,19.0      ,81.0
YBR233W   ,41.5      ,33.5      ,1242      ,25.0      ,75.0
YBR234C   ,42.1      ,28.2      ,1155      ,29.7      ,70.3
YBR235W   ,40.1      ,28.6      ,3363      ,31.3      ,68.7
YBR237W   ,38.1      ,36.2      ,2550      ,25.7      ,74.3
YBR238C   ,38.3      ,33.0      ,2196      ,28.7      ,71.3
YBR239C   ,41.9      ,33.3      ,1590      ,24.7      ,75.3
YBR240C   ,44.6      ,30.8      ,1353      ,24.6      ,75.4
YBR241C   ,50.6      ,23.0      ,1467      ,26.4      ,73.6
YBR242W   ,40.9      ,34.6      ,717       ,24.5      ,75.5
YBR245C   ,37.8      ,35.4      ,3390      ,26.8      ,73.2
YBR246W   ,39.9      ,30.1      ,1164      ,30.0      ,70.0
YBR247C   ,39.7      ,34.1      ,1452      ,26.2      ,73.8
YBR248C   ,41.4      ,31.6      ,1659      ,26.9      ,73.1
YBR249C   ,43.8      ,29.6      ,1113      ,26.7      ,73.3
YBR250W   ,35.1      ,35.4      ,1572      ,29.5      ,70.5
YBR251W   ,40.7      ,33.1      ,924       ,26.2      ,73.8
YBR252W   ,47.3      ,27.0      ,444       ,25.7      ,74.3
YBR253W   ,42.1      ,35.8      ,366       ,22.1      ,77.9
YBR254C   ,39.4      ,32.8      ,528       ,27.8      ,72.2
YBR255C   ,39.4      ,29.8      ,457       ,30.9      ,69.1
YBR255W   ,38.6      ,37.0      ,2085      ,24.4      ,75.6
YBR256C   ,38.5      ,32.9      ,717       ,28.6      ,71.4
YBR257W   ,34.6      ,39.0      ,840       ,26.3      ,73.7
YBR258C   ,36.6      ,40.1      ,429       ,23.3      ,76.7
YBR259W   ,35.4      ,34.3      ,2067      ,30.3      ,69.7
YBR260C   ,39.8      ,34.0      ,2001      ,26.2      ,73.8
YBR261C   ,48.6      ,29.9      ,699       ,21.5      ,78.5
YBR262C   ,45.8      ,29.6      ,321       ,24.6      ,75.4
YBR263W   ,43.8      ,29.4      ,1698      ,26.8      ,73.2
YBR264C   ,42.2      ,34.2      ,657       ,23.6      ,76.4
YBR265W   ,45.4      ,28.3      ,963       ,26.3      ,73.7
YBR267W   ,44.6      ,34.9      ,1182      ,20.5      ,79.5
YBR268W   ,46.2      ,31.1      ,318       ,22.6      ,77.4
YBR269C   ,47.8      ,30.5      ,393       ,21.6      ,78.4
YBR270C   ,41.0      ,32.6      ,1638      ,26.4      ,73.6
YBR271W   ,39.4      ,33.7      ,1260      ,26.8      ,73.2
YBR272C   ,36.7      ,33.0      ,1443      ,30.3      ,69.7
YBR273C   ,42.9      ,33.7      ,1311      ,23.3      ,76.7
YBR274W   ,37.8      ,31.3      ,1584      ,30.9      ,69.1
YBR275C   ,36.2      ,36.1      ,5751      ,27.7      ,72.3
YBR276C   ,38.2      ,31.3      ,2424      ,30.5      ,69.5
YBR278W   ,41.4      ,36.5      ,606       ,22.1      ,77.9
YBR279W   ,38.9      ,38.9      ,1338      ,22.1      ,77.9
YBR280C   ,41.6      ,31.3      ,1929      ,27.1      ,72.9
YBR281C   ,37.3      ,32.7      ,2637      ,30.0      ,70.0
YBR282W   ,39.9      ,35.6      ,441       ,24.5      ,75.5
YBR283C   ,38.6      ,26.9      ,1473      ,34.5      ,65.5
YBR284W   ,38.8      ,31.7      ,2394      ,29.5      ,70.5
YBR285W   ,37.2      ,37.7      ,435       ,25.1      ,74.9
YBR286W   ,42.4      ,30.8      ,1692      ,26.8      ,73.2
YBR287W   ,40.0      ,25.9      ,1284      ,34.1      ,65.9
YBR288C   ,35.7      ,33.6      ,1452      ,30.6      ,69.4
YBR289W   ,42.4      ,35.2      ,2718      ,22.4      ,77.6
YBR290W   ,38.5      ,37.1      ,966       ,24.4      ,75.6
YBR291C   ,41.8      ,29.0      ,900       ,29.2      ,70.8
YBR293W   ,37.9      ,27.2      ,1425      ,34.9      ,65.1
YBR294W   ,39.9      ,29.2      ,2580      ,30.9      ,69.1
YBR295W   ,41.5      ,28.8      ,3651      ,29.7      ,70.3
YBR296C   ,40.8      ,25.9      ,1725      ,33.3      ,66.7
YCL002C   ,32.9      ,29.4      ,459       ,37.7      ,62.3
YCL004W   ,38.3      ,32.9      ,1566      ,28.8      ,71.2
YCL009C   ,50.1      ,27.1      ,930       ,22.8      ,77.2
YCL010C   ,46.7      ,31.3      ,780       ,22.1      ,77.9
YCL011C   ,42.5      ,30.9      ,1284      ,26.6      ,73.4
YCL014W   ,38.0      ,35.8      ,4911      ,26.2      ,73.8
YCL016C   ,43.2      ,31.8      ,1143      ,25.0      ,75.0
YCL024W   ,40.3      ,35.5      ,3114      ,24.2      ,75.8
YCL025C   ,44.1      ,23.9      ,1788      ,32.0      ,68.0
YCL026C   ,44.3      ,28.9      ,582       ,26.8      ,73.2
YCL027C   ,46.7      ,28.5      ,582       ,24.7      ,75.3
YCL027W   ,40.9      ,33.9      ,1539      ,25.2      ,74.8
YCL028W   ,45.4      ,31.1      ,1218      ,23.5      ,76.5
YCL029C   ,43.7      ,36.8      ,1323      ,19.5      ,80.5
YCL030C   ,42.5      ,29.2      ,2400      ,28.3      ,71.7
YCL031C   ,36.0      ,37.8      ,894       ,26.2      ,73.8
YCL032W   ,43.7      ,33.3      ,1041      ,23.0      ,77.0
YCL033C   ,48.7      ,28.8      ,507       ,22.5      ,77.5
YCL034W   ,48.5      ,28.4      ,1065      ,23.1      ,76.9
YCL035C   ,41.7      ,33.0      ,333       ,25.2      ,74.8
YCL036W   ,47.3      ,30.0      ,1701      ,22.6      ,77.4
YCL037C   ,44.7      ,33.3      ,1401      ,22.0      ,78.0
YCL038C   ,39.5      ,25.5      ,1587      ,35.0      ,65.0
YCL039W   ,45.0      ,29.3      ,2238      ,25.7      ,74.3
YCL040W   ,49.6      ,25.7      ,1503      ,24.6      ,75.4
YCL043C   ,47.3      ,27.0      ,1569      ,25.7      ,74.3
YCL044C   ,45.3      ,29.3      ,1254      ,25.4      ,74.6
YCL045C   ,38.5      ,31.7      ,2283      ,29.8      ,70.2
YCL047C   ,39.1      ,31.1      ,777       ,29.7      ,70.3
YCL048W   ,36.9      ,33.7      ,1392      ,29.4      ,70.6
YCL049C   ,43.6      ,29.6      ,939       ,26.8      ,73.2
YCL050C   ,39.3      ,33.1      ,966       ,27.5      ,72.5
YCL051W   ,42.1      ,33.6      ,1752      ,24.4      ,75.6
YCL052C   ,38.5      ,32.9      ,1251      ,28.5      ,71.5
YCL054W   ,38.2      ,36.8      ,2526      ,25.1      ,74.9
